number,value,datetime_start,datetime_complete,duration,params_sigma_scale,params_tau,user_attrs_effective_rank,user_attrs_group_breakdown,user_attrs_uniformity,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.9647941990693412,2026-07-25 11:18:55.393273,2026-07-25 11:35:58.730363,0 days 00:17:03.337090,4.266498147616723,0.40581311290499433,3.3388505045572914,"{""Prosody"": {""alignment"": 0.966620147228241, ""uniformity"": -0.32970236043135326, ""effective_rank"": 3.2562495470046997, ""weight_entropy_ratio"": 0.9527579200369046}, ""Vocal_Tract"": {""alignment"": 0.9693398137887319, ""uniformity"": -0.13299063990513485, ""effective_rank"": 2.4558030128479005, ""weight_entropy_ratio"": 0.94354377607209}, ""Timbre"": {""alignment"": 0.9580732027689616, ""uniformity"": -0.4164944911996524, ""effective_rank"": 4.339691638946533, ""weight_entropy_ratio"": 0.9753875729716438}, ""Voice_Quality"": {""alignment"": 0.9674572666486104, ""uniformity"": -0.12225241139531136, ""effective_rank"": 2.433617663383484, ""weight_entropy_ratio"": 0.9152395906099081}, ""Scene"": {""alignment"": 0.9624805649121603, ""uniformity"": -0.4495335261027018, ""effective_rank"": 4.208890660603841, ""weight_entropy_ratio"": 0.9509350948118881}}",-0.29019468580683067,0.9475727909004871,"[1.2098053141931693, -0.1388505045572912]",COMPLETE
1,0.92904505332311,2026-07-25 11:36:05.100348,2026-07-25 11:53:15.630169,0 days 00:17:10.529821,1.3737845955327985,0.7453942447208348,3.1689927085240677,"{""Prosody"": {""alignment"": 0.9380986233552296, ""uniformity"": -0.49282611906528473, ""effective_rank"": 2.6578782081604, ""weight_entropy_ratio"": 0.9488618509420754}, ""Vocal_Tract"": {""alignment"": 0.9190850694974263, ""uniformity"": -0.29140852292378744, ""effective_rank"": 2.475166742006938, ""weight_entropy_ratio"": 0.9434725865878747}, ""Timbre"": {""alignment"": 0.9347197373708089, ""uniformity"": -0.6453902701536814, ""effective_rank"": 4.040202641487122, ""weight_entropy_ratio"": 0.9768200098198785}, ""Voice_Quality"": {""alignment"": 0.9330772300561269, ""uniformity"": -0.21915263930956522, ""effective_rank"": 2.5764498472213746, ""weight_entropy_ratio"": 0.9120429424204487}, ""Scene"": {""alignment"": 0.9202446063359578, ""uniformity"": -0.751709998647372, ""effective_rank"": 4.095266103744507, ""weight_entropy_ratio"": 0.9514779115119847}}",-0.4800975100199381,0.9465350602564524,"[1.019902489980062, 0.031007291475932508]",COMPLETE
2,0.9955188802878062,2026-07-25 11:53:20.947436,2026-07-25 12:10:49.362852,0 days 00:17:28.415416,0.33044636340245687,0.19821770842031466,1.885417281786601,"{""Prosody"": {""alignment"": 0.9970418234666188, ""uniformity"": -0.012683414885153373, ""effective_rank"": 1.5533707022666932, ""weight_entropy_ratio"": 0.9495761435115825}, ""Vocal_Tract"": {""alignment"": 0.9969728608926137, ""uniformity"": -0.012707234422365824, ""effective_rank"": 1.5515587727228801, ""weight_entropy_ratio"": 0.9416063586613964}, ""Timbre"": {""alignment"": 0.9940699458122253, ""uniformity"": -0.13398838887612025, ""effective_rank"": 2.277494963010152, ""weight_entropy_ratio"": 0.9740680000272094}, ""Voice_Quality"": {""alignment"": 0.9959283967812856, ""uniformity"": -0.017132129768530527, ""effective_rank"": 1.6705276290575664, ""weight_entropy_ratio"": 0.9108972622545971}, ""Scene"": {""alignment"": 0.9935813744862875, ""uniformity"": -0.18037396644552547, ""effective_rank"": 2.374134341875712, ""weight_entropy_ratio"": 0.9496680148328578}}",-0.07137702687953909,0.9451631558575286,"[1.428622973120461, 1.3145827182133991]",COMPLETE
3,0.9989102105299632,2026-07-25 12:10:53.812268,2026-07-25 12:27:16.057498,0 days 00:16:22.245230,3.2500667782303387,0.10517943155978948,1.6004861235618593,"{""Prosody"": {""alignment"": 0.999210782845815, ""uniformity"": -0.003327496051012228, ""effective_rank"": 1.4020670453707378, ""weight_entropy_ratio"": 0.9480925161434423}, ""Vocal_Tract"": {""alignment"": 0.9992010851701101, ""uniformity"": -0.0030636762695697446, ""effective_rank"": 1.3905352751413982, ""weight_entropy_ratio"": 0.945661913070687}, ""Timbre"": {""alignment"": 0.9980927169322967, ""uniformity"": -0.0549739947852989, ""effective_rank"": 1.8694317897160848, ""weight_entropy_ratio"": 0.9758859530702437}, ""Voice_Quality"": {""alignment"": 0.9992112755775452, ""uniformity"": -0.0032877028492900233, ""effective_rank"": 1.402952746550242, ""weight_entropy_ratio"": 0.9170322409157267}, ""Scene"": {""alignment"": 0.9988351921240489, ""uniformity"": -0.07962496684243282, ""effective_rank"": 1.9374437610308328, ""weight_entropy_ratio"": 0.9537674534072624}}",-0.028855567359520738,0.9480880153214726,"[1.4711444326404792, 1.599513876438141]",COMPLETE
4,0.9508410334587095,2026-07-25 12:27:21.939077,2026-07-25 12:43:10.284972,0 days 00:15:48.345895,1.9537679506141499,0.6210592611560484,3.109875378608704,"{""Prosody"": {""alignment"": 0.9688602129618327, ""uniformity"": -0.29530187298854194, ""effective_rank"": 2.6071485678354898, ""weight_entropy_ratio"": 0.9485272356217169}, ""Vocal_Tract"": {""alignment"": 0.9368093967437744, ""uniformity"": -0.2445865387717883, ""effective_rank"": 2.573512395222982, ""weight_entropy_ratio"": 0.9428050362744872}, ""Timbre"": {""alignment"": 0.9735442717870076, ""uniformity"": -0.3101572881142298, ""effective_rank"": 3.6186430931091307, ""weight_entropy_ratio"": 0.975751250665708}, ""Voice_Quality"": {""alignment"": 0.9310402929782867, ""uniformity"": -0.23629410117864608, ""effective_rank"": 2.566587551434835, ""weight_entropy_ratio"": 0.9143529455618702}, ""Scene"": {""alignment"": 0.943950992822647, ""uniformity"": -0.5469904323418935, ""effective_rank"": 4.183485285441081, ""weight_entropy_ratio"": 0.952504044828356}}",-0.32666604667902,0.9467881025904276,"[1.17333395332098, 0.09012462139129607]",COMPLETE
5,0.9992148605982462,2026-07-25 12:43:16.089004,2026-07-25 12:58:36.073149,0 days 00:15:19.984145,4.538431478276444,0.06955526958101232,1.4874496420224508,"{""Prosody"": {""alignment"": 0.9997629463672638, ""uniformity"": -0.0010246370666815588, ""effective_rank"": 1.2619118372599283, ""weight_entropy_ratio"": 0.95038801782983}, ""Vocal_Tract"": {""alignment"": 0.9997674961884816, ""uniformity"": -0.0010251374119737496, ""effective_rank"": 1.2603747725486756, ""weight_entropy_ratio"": 0.934736798820986}, ""Timbre"": {""alignment"": 0.9979679723580678, ""uniformity"": -0.042140462746222816, ""effective_rank"": 1.7980878591537475, ""weight_entropy_ratio"": 0.9746208181276429}, ""Voice_Quality"": {""alignment"": 0.9997724453608196, ""uniformity"": -0.000990198360523209, ""effective_rank"": 1.258457370599111, ""weight_entropy_ratio"": 0.9100647425447456}, ""Scene"": {""alignment"": 0.9988034427165985, ""uniformity"": -0.058447579170266786, ""effective_rank"": 1.8584163705507915, ""weight_entropy_ratio"": 0.9485470734587487}}",-0.020725602951133622,0.9436714901563905,"[1.4792743970488664, 1.7125503579775494]",COMPLETE
6,0.9626842514673869,2026-07-25 12:58:42.331815,2026-07-25 13:15:25.028029,0 days 00:16:42.696214,0.39615699970476376,0.8408205087604007,3.163730586369833,"{""Prosody"": {""alignment"": 0.984777017434438, ""uniformity"": -0.05812873523682356, ""effective_rank"": 2.4311071316401165, ""weight_entropy_ratio"": 0.9472904283891606}, ""Vocal_Tract"": {""alignment"": 0.9839075446128845, ""uniformity"": -0.057139126646022005, ""effective_rank"": 2.432096775372823, ""weight_entropy_ratio"": 0.9448319407063759}, ""Timbre"": {""alignment"": 0.947184310356776, ""uniformity"": -0.5117483884096146, ""effective_rank"": 4.163519382476807, ""weight_entropy_ratio"": 0.9759297317353542}, ""Voice_Quality"": {""alignment"": 0.9858031233151754, ""uniformity"": -0.05276927432666222, ""effective_rank"": 2.387130530675252, ""weight_entropy_ratio"": 0.9084395878809305}, ""Scene"": {""alignment"": 0.9117492616176606, ""uniformity"": -0.7152199844519297, ""effective_rank"": 4.404799111684164, ""weight_entropy_ratio"": 0.9518695773979006}}",-0.2790011018142104,0.9456722532219446,"[1.2209988981857895, 0.036269413630167335]",COMPLETE
7,0.9933522486686706,2026-07-25 13:15:30.756937,2026-07-25 13:32:27.899068,0 days 00:16:57.142131,0.36092627369617003,0.2227337188467456,2.230435378551483,"{""Prosody"": {""alignment"": 0.9944869796435039, ""uniformity"": -0.024237938970327378, ""effective_rank"": 1.9736224055290221, ""weight_entropy_ratio"": 0.9472957935438868}, ""Vocal_Tract"": {""alignment"": 0.9939086735248566, ""uniformity"": -0.023880807931224504, ""effective_rank"": 1.9594186464945476, ""weight_entropy_ratio"": 0.9412245119485385}, ""Timbre"": {""alignment"": 0.9927715579668681, ""uniformity"": -0.12503635585308076, ""effective_rank"": 2.595995815594991, ""weight_entropy_ratio"": 0.9756642400173237}, ""Voice_Quality"": {""alignment"": 0.9940193553765615, ""uniformity"": -0.023809506030132373, ""effective_rank"": 1.9614010492960612, ""weight_entropy_ratio"": 0.9169250586666633}, ""Scene"": {""alignment"": 0.9915746768315633, ""uniformity"": -0.16867828940351803, ""effective_rank"": 2.661738975842794, ""weight_entropy_ratio"": 0.9522335006192458}}",-0.07312857963765661,0.9466686209591316,"[1.4268714203623434, 0.9695646214485172]",COMPLETE
8,0.9841983218987783,2026-07-25 13:32:32.770977,2026-07-25 13:48:08.848958,0 days 00:15:36.077981,1.0829490041084235,0.3390301308115608,2.819594683647155,"{""Prosody"": {""alignment"": 0.9943886776765187, ""uniformity"": -0.0437982098509868, ""effective_rank"": 2.097479756673177, ""weight_entropy_ratio"": 0.9467041993966934}, ""Vocal_Tract"": {""alignment"": 0.9893787403901418, ""uniformity"": -0.043646599942197405, ""effective_rank"": 2.1075929681460064, ""weight_entropy_ratio"": 0.9358711156773638}, ""Timbre"": {""alignment"": 0.9757851421833038, ""uniformity"": -0.25565082430839536, ""effective_rank"": 3.83753125667572, ""weight_entropy_ratio"": 0.9760197289929304}, ""Voice_Quality"": {""alignment"": 0.9886997958024343, ""uniformity"": -0.043103601628293596, ""effective_rank"": 2.1013679067293802, ""weight_entropy_ratio"": 0.9125389900098795}, ""Scene"": {""alignment"": 0.9727392534414927, ""uniformity"": -0.33783002694447833, ""effective_rank"": 3.954001530011495, ""weight_entropy_ratio"": 0.9530775313385761}}",-0.1448058525348703,0.9448423130830883,"[1.3551941474651297, 0.38040531635284536]",COMPLETE
9,0.9853182824452718,2026-07-25 13:48:14.757972,2026-07-25 14:04:21.641599,0 days 00:16:06.883627,0.5106823667399514,0.46034776771000996,2.699108650684357,"{""Prosody"": {""alignment"": 0.9968459288279216, ""uniformity"": -0.010693519515916705, ""effective_rank"": 1.723313311735789, ""weight_entropy_ratio"": 0.9495550780381457}, ""Vocal_Tract"": {""alignment"": 0.9972072203954061, ""uniformity"": -0.010993425594642758, ""effective_rank"": 1.7291203657786052, ""weight_entropy_ratio"": 0.9438942470838915}, ""Timbre"": {""alignment"": 0.9732122917970022, ""uniformity"": -0.32661561767260233, ""effective_rank"": 4.166470241546631, ""weight_entropy_ratio"": 0.9759427907176123}, ""Voice_Quality"": {""alignment"": 0.9977236886819204, ""uniformity"": -0.009636733587831259, ""effective_rank"": 1.7063555081685384, ""weight_entropy_ratio"": 0.9133140179723409}, ""Scene"": {""alignment"": 0.9616022825241088, ""uniformity"": -0.4778991887966792, ""effective_rank"": 4.17028382619222, ""weight_entropy_ratio"": 0.9510467521792844}}",-0.16716769703353443,0.946750577198255,"[1.3328323029664655, 0.5008913493156433]",COMPLETE
