number,value,datetime_start,datetime_complete,duration,params_sigma_scale_Prosody,params_sigma_scale_Scene,params_sigma_scale_Timbre,params_sigma_scale_Vocal_Tract,params_sigma_scale_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.9823310947418212,2026-07-25 21:51:35.887963,2026-07-25 21:59:05.333172,0 days 00:07:29.445209,4.266498147616723,0.33044636340245687,1.3737845955327985,2.1101513838453085,0.33047202013078175,0.40581311290499433,1.7104999780654908,2.1751319849491115,"{""Prosody"": {""alignment"": 0.9956388175487518, ""uniformity"": -0.019453965802676977, ""effective_rank"": 1.7104999780654908, ""weight_entropy_ratio"": 0.9996368216791012}, ""Vocal_Tract"": {""alignment"": 0.9945657670497894, ""uniformity"": -0.0203379264799878, ""effective_rank"": 1.7202290892601013, ""weight_entropy_ratio"": 0.9936106269489076}, ""Timbre"": {""alignment"": 0.9979079514741898, ""uniformity"": -0.037127070920541884, ""effective_rank"": 1.8617421567440033, ""weight_entropy_ratio"": 0.9930022218556933}, ""Voice_Quality"": {""alignment"": 0.9947645485401153, ""uniformity"": -0.021283008554019035, ""effective_rank"": 1.729886269569397, ""weight_entropy_ratio"": 0.6916515618946313}, ""Scene"": {""alignment"": 0.9287783890962601, ""uniformity"": -0.5584229111671448, ""effective_rank"": 3.8533024311065676, ""weight_entropy_ratio"": 0.630162285096821}}",-0.019453965802676977,0.9287783890962601,1.7104999780654908,-0.019453965802676977,-0.1313249765848741,0.8616127034950309,"[0.430546034197323, 0.7895000219345092]",COMPLETE
1,0.9996390122175216,2026-07-25 21:59:10.658378,2026-07-25 22:06:03.236055,0 days 00:06:52.577677,3.2500667782303387,4.538431478276444,1.9537679506141499,1.3846905247421057,0.21370067001013646,0.10517943155978948,1.2327426970005035,1.2342304301261904,"{""Prosody"": {""alignment"": 0.9995117604732513, ""uniformity"": -0.0020128579228185116, ""effective_rank"": 1.2327426970005035, ""weight_entropy_ratio"": 0.9989512481287435}, ""Vocal_Tract"": {""alignment"": 0.9994941651821136, ""uniformity"": -0.0020671819162089377, ""effective_rank"": 1.2338538467884064, ""weight_entropy_ratio"": 0.9772443998887143}, ""Timbre"": {""alignment"": 0.999824795126915, ""uniformity"": -0.0022041079588234424, ""effective_rank"": 1.2367761850357055, ""weight_entropy_ratio"": 0.9978625571466289}, ""Voice_Quality"": {""alignment"": 0.9995039612054825, ""uniformity"": -0.002051309944363311, ""effective_rank"": 1.2335214495658875, ""weight_entropy_ratio"": 0.5837471988747881}, ""Scene"": {""alignment"": 0.9998603790998459, ""uniformity"": -0.0020800055644940585, ""effective_rank"": 1.234257972240448, ""weight_entropy_ratio"": 0.9997382628097897}}",-0.0020128579228185116,0.9994941651821136,1.2327426970005035,-0.0020128579228185116,-0.0020830926613416524,0.9115087333697328,"[0.4479871420771815, 1.2672573029994965]",COMPLETE
2,0.9426071417331696,2026-07-25 22:06:06.879360,2026-07-25 22:12:59.810716,0 days 00:06:52.931356,0.39615699970476376,1.0829490041084235,0.36092627369617003,0.3590958547948703,0.5325279408645577,0.8408205087604007,1.7973467350006103,2.742498174905777,"{""Prosody"": {""alignment"": 0.9910081326961517, ""uniformity"": -0.03720207409933209, ""effective_rank"": 1.810614687204361, ""weight_entropy_ratio"": 0.714963280984156}, ""Vocal_Tract"": {""alignment"": 0.9903245359659195, ""uniformity"": -0.036311147687956694, ""effective_rank"": 1.8048522353172303, ""weight_entropy_ratio"": 0.6713121203006475}, ""Timbre"": {""alignment"": 0.7866672843694686, ""uniformity"": -1.0135655462741853, ""effective_rank"": 4.884873747825623, ""weight_entropy_ratio"": 0.6736950172308871}, ""Voice_Quality"": {""alignment"": 0.9908174335956573, ""uniformity"": -0.03556810123845935, ""effective_rank"": 1.7973467350006103, ""weight_entropy_ratio"": 0.7903855097420415}, ""Scene"": {""alignment"": 0.9542183220386505, ""uniformity"": -0.3716986678540707, ""effective_rank"": 3.4148034691810607, ""weight_entropy_ratio"": 0.963822840014041}}",-0.03556810123845935,0.7866672843694686,1.7973467350006103,-0.03556810123845935,-0.2988691074308008,0.7628357536543546,"[0.4144318987615407, 0.7026532649993897]",COMPLETE
3,0.9466335552930832,2026-07-25 22:13:03.563085,2026-07-25 22:19:56.310683,0 days 00:06:52.747598,0.5106823667399514,0.6504020089889654,0.31335313528540565,1.433387578475623,0.5121895201455046,0.46034776771000996,2.0860449373722076,3.192769298553467,"{""Prosody"": {""alignment"": 0.9896995514631272, ""uniformity"": -0.04077785676345229, ""effective_rank"": 2.0860449373722076, ""weight_entropy_ratio"": 0.794342792816205}, ""Vocal_Tract"": {""alignment"": 0.9897542417049408, ""uniformity"": -0.040487847710028294, ""effective_rank"": 2.08659964799881, ""weight_entropy_ratio"": 0.9784721408346018}, ""Timbre"": {""alignment"": 0.8585705310106277, ""uniformity"": -0.8090415000915527, ""effective_rank"": 5.063148665428161, ""weight_entropy_ratio"": 0.6136587632092774}, ""Voice_Quality"": {""alignment"": 0.9889834851026535, ""uniformity"": -0.04279882716946304, ""effective_rank"": 2.1084074079990387, ""weight_entropy_ratio"": 0.7794533807011951}, ""Scene"": {""alignment"": 0.9061599671840668, ""uniformity"": -0.6528766572475433, ""effective_rank"": 4.619645833969116, ""weight_entropy_ratio"": 0.8737057718386065}}",-0.040487847710028294,0.8585705310106277,2.0860449373722076,-0.040487847710028294,-0.31719653779640794,0.8079265698799774,"[0.40951215228997173, 0.41395506262779236]",COMPLETE
4,0.9926188701391219,2026-07-25 22:19:59.861546,2026-07-25 22:26:52.856208,0 days 00:06:52.994662,2.50414161703258,0.23225490039051538,1.0468847921574105,0.3803312094071718,1.3464493568065974,0.4832664850061841,1.4269158124923706,1.6953500056266784,"{""Prosody"": {""alignment"": 0.9978233337402344, ""uniformity"": -0.008815714344382285, ""effective_rank"": 1.4269158124923706, ""weight_entropy_ratio"": 0.9972312719799172}, ""Vocal_Tract"": {""alignment"": 0.9974503815174103, ""uniformity"": -0.010882300138473511, ""effective_rank"": 1.467528873682022, ""weight_entropy_ratio"": 0.6937069935274807}, ""Timbre"": {""alignment"": 0.9977482348680496, ""uniformity"": -0.011891205538995564, ""effective_rank"": 1.4860510528087616, ""weight_entropy_ratio"": 0.9805552432002009}, ""Voice_Quality"": {""alignment"": 0.9977297693490982, ""uniformity"": -0.00925039646681398, ""effective_rank"": 1.4362545013427734, ""weight_entropy_ratio"": 0.9584728763293455}, ""Scene"": {""alignment"": 0.9723426312208175, ""uniformity"": -0.38364036828279496, ""effective_rank"": 2.6599997878074646, ""weight_entropy_ratio"": 0.46049076402435585}}",-0.008815714344382285,0.9723426312208175,1.4269158124923706,-0.008815714344382285,-0.08489599695429205,0.81809142981226,"[0.44118428565561774, 1.0730841875076294]",COMPLETE
5,0.9910269176959992,2026-07-25 22:26:56.481748,2026-07-25 22:33:50.039263,0 days 00:06:53.557515,0.34626810531118907,2.6984911090750465,4.241456837579218,0.24658588892768893,4.476366617757313,0.6271676093063665,2.3063180088996886,2.31643620967865,"{""Prosody"": {""alignment"": 0.9879502266645431, ""uniformity"": -0.0471408030949533, ""effective_rank"": 2.310985732078552, ""weight_entropy_ratio"": 0.6533145802537045}, ""Vocal_Tract"": {""alignment"": 0.9886560529470444, ""uniformity"": -0.04801513645797968, ""effective_rank"": 2.3239979982376098, ""weight_entropy_ratio"": 0.4947514010416557}, ""Timbre"": {""alignment"": 0.9949312895536423, ""uniformity"": -0.0470077695325017, ""effective_rank"": 2.309657645225525, ""weight_entropy_ratio"": 0.9998988146333779}, ""Voice_Quality"": {""alignment"": 0.9883248001337052, ""uniformity"": -0.046677295491099356, ""effective_rank"": 2.3063180088996886, ""weight_entropy_ratio"": 0.9990518893775866}, ""Scene"": {""alignment"": 0.9952722191810608, ""uniformity"": -0.04872400294989347, ""effective_rank"": 2.3312216639518737, ""weight_entropy_ratio"": 0.9983743434184078}}",-0.046677295491099356,0.9879502266645431,2.3063180088996886,-0.046677295491099356,-0.04751300150528549,0.8290782057449466,"[0.4033227045089007, 0.19368199110031137]",COMPLETE
6,0.9884439563751222,2026-07-25 22:33:53.772894,2026-07-25 22:40:48.171194,0 days 00:06:54.398300,0.27388594841887787,0.9845949630100261,0.824777446316616,1.8094505491408697,0.2962321064331392,0.33938308071470213,1.8506908655166625,2.3092886245250703,"{""Prosody"": {""alignment"": 0.9918811768293381, ""uniformity"": -0.03332076380029321, ""effective_rank"": 1.8520937144756318, ""weight_entropy_ratio"": 0.5523735426001566}, ""Vocal_Tract"": {""alignment"": 0.991230908036232, ""uniformity"": -0.03334878101013601, ""effective_rank"": 1.8506908655166625, ""weight_entropy_ratio"": 0.9894036512617909}, ""Timbre"": {""alignment"": 0.9832309305667877, ""uniformity"": -0.23808128908276557, ""effective_rank"": 2.97572066783905, ""weight_entropy_ratio"": 0.9566793743507708}, ""Voice_Quality"": {""alignment"": 0.9915808856487274, ""uniformity"": -0.03424164317548275, ""effective_rank"": 1.8523246049880981, ""weight_entropy_ratio"": 0.6500312379158714}, ""Scene"": {""alignment"": 0.9842958807945251, ""uniformity"": -0.2528092212975025, ""effective_rank"": 3.0156132698059084, ""weight_entropy_ratio"": 0.9527192283901474}}",-0.03332076380029321,0.9832309305667877,1.8506908655166625,-0.03332076380029321,-0.118360339673236,0.8202414069037474,"[0.4166792361997068, 0.6493091344833375]",COMPLETE
7,0.9996402353048325,2026-07-25 22:40:51.857715,2026-07-25 22:47:45.362019,0 days 00:06:53.504304,3.7342669971066234,1.0667284786811646,1.6873159178730126,0.46003289292260346,0.5454857126926345,0.08266909505945748,1.2618682205677032,1.3652874183654786,"{""Prosody"": {""alignment"": 0.9997224420309067, ""uniformity"": -0.001127212811843492, ""effective_rank"": 1.2618682205677032, ""weight_entropy_ratio"": 0.9994005112620533}, ""Vocal_Tract"": {""alignment"": 0.9997059971094131, ""uniformity"": -0.001176320921513252, ""effective_rank"": 1.2632716715335846, ""weight_entropy_ratio"": 0.7501574606783458}, ""Timbre"": {""alignment"": 0.9997275322675705, ""uniformity"": -0.0022884460806380956, ""effective_rank"": 1.2961673617362977, ""weight_entropy_ratio"": 0.9964745664908001}, ""Voice_Quality"": {""alignment"": 0.9997054308652877, ""uniformity"": -0.0011431152728619055, ""effective_rank"": 1.2622337877750396, ""weight_entropy_ratio"": 0.799607856811678}, ""Scene"": {""alignment"": 0.9993397742509842, ""uniformity"": -0.05341357300058007, ""effective_rank"": 1.7428960502147675, ""weight_entropy_ratio"": 0.9615014735631456}}",-0.001127212811843492,0.9993397742509842,1.2618682205677032,-0.001127212811843492,-0.011829733617487365,0.9014283737612047,"[0.44887278718815654, 1.2381317794322968]",COMPLETE
8,0.9963129645586015,2026-07-25 22:47:49.157340,2026-07-25 22:54:43.659240,0 days 00:06:54.501900,0.3626147241206897,3.564059532411873,2.4244832132602934,4.533682875726217,4.115220915289751,0.5693747653761156,1.8752892553806304,1.8936201870441436,"{""Prosody"": {""alignment"": 0.9948088318109513, ""uniformity"": -0.02243806216865778, ""effective_rank"": 1.898789644241333, ""weight_entropy_ratio"": 0.6778067724511612}, ""Vocal_Tract"": {""alignment"": 0.9946338593959808, ""uniformity"": -0.020815401594154535, ""effective_rank"": 1.877472573518753, ""weight_entropy_ratio"": 0.9995120919021738}, ""Timbre"": {""alignment"": 0.9983323097229004, ""uniformity"": -0.023270489135757088, ""effective_rank"": 1.9091064751148223, ""weight_entropy_ratio"": 0.9991383859532265}, ""Voice_Quality"": {""alignment"": 0.994839733839035, ""uniformity"": -0.020645800535567103, ""effective_rank"": 1.8752892553806304, ""weight_entropy_ratio"": 0.9986969029656331}, ""Scene"": {""alignment"": 0.9989500880241394, ""uniformity"": -0.023104274505749346, ""effective_rank"": 1.9074429869651794, ""weight_entropy_ratio"": 0.9993790007704197}}",-0.020645800535567103,0.9946338593959808,1.8752892553806304,-0.020645800535567103,-0.02205480558797717,0.9349066308085231,"[0.42935419946443293, 0.6247107446193696]",COMPLETE
9,0.9184999883174895,2026-07-25 22:54:47.401035,2026-07-25 23:01:43.028712,0 days 00:06:55.627677,3.888256187408813,0.5699310014070047,0.375839377446696,0.2659115519669443,0.23134229110536686,0.6180049798705309,2.039501613378525,3.4167435789108276,"{""Prosody"": {""alignment"": 0.9887667775154114, ""uniformity"": -0.04373048795387149, ""effective_rank"": 2.039501613378525, ""weight_entropy_ratio"": 0.9994181086626455}, ""Vocal_Tract"": {""alignment"": 0.9882558315992356, ""uniformity"": -0.04547512899152935, ""effective_rank"": 2.066233032941818, ""weight_entropy_ratio"": 0.5171032360215851}, ""Timbre"": {""alignment"": 0.813245615363121, ""uniformity"": -1.1260038167238235, ""effective_rank"": 5.495414280891419, ""weight_entropy_ratio"": 0.7029599864299672}, ""Voice_Quality"": {""alignment"": 0.9884269535541534, ""uniformity"": -0.04659539354033768, ""effective_rank"": 2.083336389064789, ""weight_entropy_ratio"": 0.5935970446200999}, ""Scene"": {""alignment"": 0.8138047635555268, ""uniformity"": -1.068986141681671, ""effective_rank"": 5.399232578277588, ""weight_entropy_ratio"": 0.8273072615853131}}",-0.04373048795387149,0.813245615363121,2.039501613378525,-0.04373048795387149,-0.4661581937782467,0.7280771274639222,"[0.40626951204612854, 0.46049838662147513]",COMPLETE
