number,value,datetime_start,datetime_complete,duration,params_alpha_mult_Prosody,params_alpha_mult_Scene,params_alpha_mult_Timbre,params_alpha_mult_Vocal_Tract,params_alpha_mult_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.9402293853759766,2026-07-27 22:42:32.141001,2026-07-27 23:01:01.117923,0 days 00:18:28.976922,1.7359285983328911,0.7027928764370635,1.2782560294561476,1.4515921243548267,0.7028242325751675,0.40581311290499433,1.8749553871154785,3.1475506973266603,"{""Prosody"": {""alignment"": 0.990724287033081, ""uniformity"": -0.03708278054371476, ""effective_rank"": 1.8899128389358522, ""weight_entropy_ratio"": 0.8028102482295129}, ""Vocal_Tract"": {""alignment"": 0.9905947041511536, ""uniformity"": -0.03641728425398469, ""effective_rank"": 1.8749553871154785, ""weight_entropy_ratio"": 0.7676473939800139}, ""Timbre"": {""alignment"": 0.880659613609314, ""uniformity"": -0.953058865070343, ""effective_rank"": 4.997122325897217, ""weight_entropy_ratio"": 0.7683450773962346}, ""Voice_Quality"": {""alignment"": 0.9907254147529602, ""uniformity"": -0.03676409581676125, ""effective_rank"": 1.8851940107345582, ""weight_entropy_ratio"": 0.5393521451980487}, ""Scene"": {""alignment"": 0.848442907333374, ""uniformity"": -1.0106968951225281, ""effective_rank"": 5.090568923950196, ""weight_entropy_ratio"": 0.4781753620962156}}",-0.03641728425398469,0.848442907333374,1.8749553871154785,-0.03641728425398469,-0.41480398416146635,0.6712660453800051,"[0.3129172194562852, 0.6250446128845215]",COMPLETE
1,0.9947099161148071,2026-07-27 23:01:05.986524,2026-07-27 23:19:11.059144,0 days 00:18:05.072620,1.6260289895074158,1.7608828078105927,1.4204943511348591,1.2814495152661713,0.5267598425845432,0.10517943155978948,1.6109793710708618,1.8898920354843136,"{""Prosody"": {""alignment"": 0.995767731666565, ""uniformity"": -0.017233833521604538, ""effective_rank"": 1.6109793710708618, ""weight_entropy_ratio"": 0.7850545608025318}, ""Vocal_Tract"": {""alignment"": 0.9956004810333252, ""uniformity"": -0.017206889353692533, ""effective_rank"": 1.6121962642669678, ""weight_entropy_ratio"": 0.7149578026566988}, ""Timbre"": {""alignment"": 0.9911926651000976, ""uniformity"": -0.1586744838953018, ""effective_rank"": 2.29543746471405, ""weight_entropy_ratio"": 0.8191696043622018}, ""Voice_Quality"": {""alignment"": 0.9956719398498535, ""uniformity"": -0.017326014153659343, ""effective_rank"": 1.6130000734329224, ""weight_entropy_ratio"": 0.4697804490608051}, ""Scene"": {""alignment"": 0.9953167629241944, ""uniformity"": -0.15397144496440887, ""effective_rank"": 2.317847003936768, ""weight_entropy_ratio"": 0.8519701577757908}}",-0.017206889353692533,0.9911926651000976,1.6109793710708618,-0.017206889353692533,-0.07288253317773342,0.7281865149316056,"[0.33276616647839546, 0.8890206289291382]",COMPLETE
2,0.8823922324180604,2026-07-27 23:19:15.362581,2026-07-27 23:37:26.567515,0 days 00:18:11.204934,0.776040843881759,1.1821833611219092,0.738425862809464,0.7363724573692308,0.8955149158473991,0.8408205087604007,2.107211079597473,3.2997306203842163,"{""Prosody"": {""alignment"": 0.9673524618148803, ""uniformity"": -0.10905048236250878, ""effective_rank"": 2.153035578727722, ""weight_entropy_ratio"": 0.5042634912110487}, ""Vocal_Tract"": {""alignment"": 0.9695626902580261, ""uniformity"": -0.10562865473330021, ""effective_rank"": 2.13821729183197, ""weight_entropy_ratio"": 0.47132806160564544}, ""Timbre"": {""alignment"": 0.7178148078918457, ""uniformity"": -1.5490166187286376, ""effective_rank"": 5.30312671661377, ""weight_entropy_ratio"": 0.4755215221668525}, ""Voice_Quality"": {""alignment"": 0.96957843542099, ""uniformity"": -0.09807846873998642, ""effective_rank"": 2.107211079597473, ""weight_entropy_ratio"": 0.5965862071034816}, ""Scene"": {""alignment"": 0.7876527667045593, ""uniformity"": -1.271243851184845, ""effective_rank"": 4.7970624351501465, ""weight_entropy_ratio"": 0.7142200468864016}}",-0.09807846873998642,0.7178148078918457,2.107211079597473,-0.09807846873998642,-0.6266036151498556,0.552383865794686,"[0.2409495176374912, 0.392788920402527]",COMPLETE
3,0.8753681921958923,2026-07-27 23:37:30.654957,2026-07-27 23:55:40.862561,0 days 00:18:10.207604,0.8785978822574545,0.9762703962817992,0.6813420188476544,1.2954087631390934,0.8797880430957836,0.46034776771000996,3.1895656108856203,4.070680822372437,"{""Prosody"": {""alignment"": 0.8724459791183472, ""uniformity"": -0.6557089138031006, ""effective_rank"": 3.89455174446106, ""weight_entropy_ratio"": 0.5551775968873052}, ""Vocal_Tract"": {""alignment"": 0.9389826560020447, ""uniformity"": -0.22740428581833838, ""effective_rank"": 3.290011053085327, ""weight_entropy_ratio"": 0.7247009620029634}, ""Timbre"": {""alignment"": 0.766212477684021, ""uniformity"": -1.3361326789855956, ""effective_rank"": 5.227175655364991, ""weight_entropy_ratio"": 0.4214832448853953}, ""Voice_Quality"": {""alignment"": 0.9433983373641968, ""uniformity"": -0.18339916199445724, ""effective_rank"": 3.1895656108856203, ""weight_entropy_ratio"": 0.5869813962418756}, ""Scene"": {""alignment"": 0.8558015108108521, ""uniformity"": -1.1000402426719667, ""effective_rank"": 4.752100048065185, ""weight_entropy_ratio"": 0.6200605640393917}}",-0.18339916199445724,0.766212477684021,3.1895656108856203,-0.18339916199445724,-0.7005370566546917,0.5816807528113863,"[0.11660083800554275, -0.6895656108856203]",COMPLETE
4,0.8815016188621522,2026-07-27 23:55:48.115093,2026-07-28 00:14:00.527340,0 days 00:18:12.412247,1.5207287498109177,0.5603855365359971,1.1685047699376951,0.7595759168058677,1.2701389395206553,0.4832664850061841,2.901621227264404,3.8813071250915527,"{""Prosody"": {""alignment"": 0.9332074570655823, ""uniformity"": -0.5256305468082428, ""effective_rank"": 3.1733868408203123, ""weight_entropy_ratio"": 0.7603111884420719}, ""Vocal_Tract"": {""alignment"": 0.8858127164840698, ""uniformity"": -0.4034397840499878, ""effective_rank"": 3.0183136749267576, ""weight_entropy_ratio"": 0.4808532594791161}, ""Timbre"": {""alignment"": 0.8366060924530029, ""uniformity"": -1.04328617811203, ""effective_rank"": 5.312885456085205, ""weight_entropy_ratio"": 0.7329712384850859}, ""Voice_Quality"": {""alignment"": 0.8929312348365783, ""uniformity"": -0.3300820803642273, ""effective_rank"": 2.901621227264404, ""weight_entropy_ratio"": 0.6778463280470386}, ""Scene"": {""alignment"": 0.8589505934715271, ""uniformity"": -1.0042800307273865, ""effective_rank"": 5.000328426361084, ""weight_entropy_ratio"": 0.3746598086232482}}",-0.3300820803642273,0.8366060924530029,2.901621227264404,-0.3300820803642273,-0.6613437240123748,0.6053283646153121,"[-0.030082080364227326, -0.4016212272644042]",COMPLETE
5,0.9468495054244995,2026-07-28 00:14:06.967806,2026-07-28 00:32:29.419595,0 days 00:18:22.451789,0.721681360793479,1.5509165525513995,1.7335511984293333,0.5845670708808633,1.7553216429969272,0.6271676093063665,2.1210240077972413,2.9961188268661503,"{""Prosody"": {""alignment"": 0.9812942528724671, ""uniformity"": -0.07953483112156391, ""effective_rank"": 2.170905055999756, ""weight_entropy_ratio"": 0.47780570044194975}, ""Vocal_Tract"": {""alignment"": 0.9787208199501037, ""uniformity"": -0.07347437642514705, ""effective_rank"": 2.1263753747940064, ""weight_entropy_ratio"": 0.36669491091686324}, ""Timbre"": {""alignment"": 0.9019407558441163, ""uniformity"": -0.7047630453109741, ""effective_rank"": 4.232324237823486, ""weight_entropy_ratio"": 0.8876806284000928}, ""Voice_Quality"": {""alignment"": 0.9796858167648316, ""uniformity"": -0.0726539234817028, ""effective_rank"": 2.1210240077972413, ""weight_entropy_ratio"": 0.7415886383679883}, ""Scene"": {""alignment"": 0.892605881690979, ""uniformity"": -0.8081099104881286, ""effective_rank"": 4.32996545791626, ""weight_entropy_ratio"": 0.8057509430521715}}",-0.0726539234817028,0.892605881690979,2.1210240077972413,-0.0726539234817028,-0.34770721736550336,0.655904164235813,"[0.2704651688784361, 0.3789759922027587]",COMPLETE
6,0.9529421682357789,2026-07-28 00:32:35.307100,2026-07-28 00:50:45.423491,0 days 00:18:10.116391,0.6269737482082991,1.1437299831446512,1.0721982418614817,1.389502934465804,0.6586497052982125,0.33938308071470213,2.0571303939819336,3.1594448289871218,"{""Prosody"": {""alignment"": 0.9899542140960693, ""uniformity"": -0.04234415583312511, ""effective_rank"": 2.0957043075561526, ""weight_entropy_ratio"": 0.4168104801607759}, ""Vocal_Tract"": {""alignment"": 0.98921147108078, ""uniformity"": -0.04125270064920187, ""effective_rank"": 2.0718891763687135, ""weight_entropy_ratio"": 0.7449894735661414}, ""Timbre"": {""alignment"": 0.8978393411636353, ""uniformity"": -0.7066765213012696, ""effective_rank"": 4.830355892181396, ""weight_entropy_ratio"": 0.695937786307144}, ""Voice_Quality"": {""alignment"": 0.989334979057312, ""uniformity"": -0.04009946055710316, ""effective_rank"": 2.0571303939819336, ""weight_entropy_ratio"": 0.5220166213179434}, ""Scene"": {""alignment"": 0.8983708357810974, ""uniformity"": -0.702049833536148, ""effective_rank"": 4.742144374847412, ""weight_entropy_ratio"": 0.6987682424497269}}",-0.04009946055710316,0.8978393411636353,2.0571303939819336,-0.04009946055710316,-0.30648453437536954,0.6157045207603463,"[0.30765584416687486, 0.44286960601806635]",COMPLETE
7,0.9947972598075867,2026-07-28 00:50:51.218816,2026-07-28 01:09:08.722644,0 days 00:18:17.503828,1.6821165227024166,1.176088427531154,1.3612789696601766,0.836413976080022,0.9052243989162343,0.08266909505945748,1.6554502820968628,1.9353024616241459,"{""Prosody"": {""alignment"": 0.995800929069519, ""uniformity"": -0.016911352425813674, ""effective_rank"": 1.6651457405090333, ""weight_entropy_ratio"": 0.7995480860723927}, ""Vocal_Tract"": {""alignment"": 0.9958581638336181, ""uniformity"": -0.016901272013783455, ""effective_rank"": 1.6554502820968628, ""weight_entropy_ratio"": 0.5370696898339186}, ""Timbre"": {""alignment"": 0.9922909736633301, ""uniformity"": -0.15562007635831832, ""effective_rank"": 2.32292103767395, ""weight_entropy_ratio"": 0.8068983188908072}, ""Voice_Quality"": {""alignment"": 0.9955555438995362, ""uniformity"": -0.016893473751842976, ""effective_rank"": 1.6572512292861938, ""weight_entropy_ratio"": 0.585837954210645}, ""Scene"": {""alignment"": 0.99448068857193, ""uniformity"": -0.18270627290010452, ""effective_rank"": 2.3757440185546876, ""weight_entropy_ratio"": 0.7053113496009632}}",-0.016893473751842976,0.9922909736633301,1.6554502820968628,-0.016893473751842976,-0.07780648948997258,0.6869330797217453,"[0.3330886475741863, 0.8445497179031372]",COMPLETE
8,0.8968907971382142,2026-07-28 01:09:14.144060,2026-07-28 01:27:29.665191,0 days 00:18:15.521131,0.7403107921831852,1.6632755555559435,1.507672670369449,1.760460016093926,1.721348624033446,0.5693747653761156,2.5644571685791018,3.714890419006348,"{""Prosody"": {""alignment"": 0.8421816635131836, ""uniformity"": -0.8969202351570129, ""effective_rank"": 3.3931805896759033, ""weight_entropy_ratio"": 0.48657111299347244}, ""Vocal_Tract"": {""alignment"": 0.9587194919586182, ""uniformity"": -0.16887882858514786, ""effective_rank"": 2.601666498184204, ""weight_entropy_ratio"": 0.8312000298727589}, ""Timbre"": {""alignment"": 0.8351152491569519, ""uniformity"": -1.0935154914855958, ""effective_rank"": 5.1618656539917, ""weight_entropy_ratio"": 0.8424497453824812}, ""Voice_Quality"": {""alignment"": 0.9631567311286926, ""uniformity"": -0.13122049435973168, ""effective_rank"": 2.5644571685791018, ""weight_entropy_ratio"": 0.7484341561003166}, ""Scene"": {""alignment"": 0.8852808499336242, ""uniformity"": -0.8679044938087463, ""effective_rank"": 4.85328218460083, ""weight_entropy_ratio"": 0.8296356083000798}}",-0.13122049435973168,0.8351152491569519,2.5644571685791018,-0.13122049435973168,-0.631687908679247,0.7476581305298217,"[0.1687795056402683, -0.06445716857910178]",COMPLETE
9,0.8743465046882629,2026-07-28 01:27:35.755402,2026-07-28 01:45:46.368800,0 days 00:18:10.613398,1.6984365055300519,0.9229294299922437,0.7547777211448887,0.6150402526674954,0.5587954755836995,0.6180049798705309,2.7553197860717775,3.7545294723510745,"{""Prosody"": {""alignment"": 0.9384696793556213, ""uniformity"": -0.227480466067791, ""effective_rank"": 2.9110141468048094, ""weight_entropy_ratio"": 0.7922313262951053}, ""Vocal_Tract"": {""alignment"": 0.9446436929702758, ""uniformity"": -0.21818891286849976, ""effective_rank"": 2.8838798427581787, ""weight_entropy_ratio"": 0.3894787281295206}, ""Timbre"": {""alignment"": 0.7723654484748841, ""uniformity"": -1.3134356427192688, ""effective_rank"": 5.219128093719482, ""weight_entropy_ratio"": 0.4932006695330741}, ""Voice_Quality"": {""alignment"": 0.9448469805717469, ""uniformity"": -0.19102648496627808, ""effective_rank"": 2.7553197860717775, ""weight_entropy_ratio"": 0.47896510443189966}, ""Scene"": {""alignment"": 0.7714067220687866, ""uniformity"": -1.2624254202842713, ""effective_rank"": 5.003305492401123, ""weight_entropy_ratio"": 0.61695677158215}}",-0.19102648496627808,0.7714067220687866,2.7553197860717775,-0.19102648496627808,-0.6425113853812218,0.5541665199943498,"[0.12251953393220899, -0.2553197860717775]",COMPLETE
