number,value,datetime_start,datetime_complete,duration,params_mult_Prosody,params_mult_Scene,params_mult_Timbre,params_mult_Vocal_Tract,params_mult_Voice_Quality,params_tau,user_attrs_effective_rank,user_attrs_effective_rank_avg,user_attrs_group_breakdown,user_attrs_max_group_uniformity,user_attrs_min_group_alignment,user_attrs_min_group_rank,user_attrs_uniformity,user_attrs_uniformity_avg,user_attrs_weight_entropy_ratio,system_attrs_constraints,state
0,0.9831064891815186,2026-07-29 16:20:49.111043,2026-07-29 16:55:33.283795,0 days 00:34:44.172752,2.87678576602479,0.8899863008405067,1.9966462104925915,2.3299848545285125,0.8900466011060912,0.23730684991589224,1.6340292119979858,1.953347327232361,"{""Prosody"": {""alignment"": 0.9967372238636016, ""uniformity"": -0.012852749563753605, ""effective_rank"": 1.6393133807182312, ""weight_entropy_ratio"": 0.9984522783810321}, ""Vocal_Tract"": {""alignment"": 0.9968467223644256, ""uniformity"": -0.012340708449482918, ""effective_rank"": 1.6340292119979858, ""weight_entropy_ratio"": 0.995293750987402}, ""Timbre"": {""alignment"": 0.9951457309722901, ""uniformity"": -0.019330697199329734, ""effective_rank"": 1.7156485962867736, ""weight_entropy_ratio"": 0.9980979986272842}, ""Voice_Quality"": {""alignment"": 0.9967996227741241, ""uniformity"": -0.012542174756526947, ""effective_rank"": 1.6363958311080933, ""weight_entropy_ratio"": 0.8975444375504202}, ""Scene"": {""alignment"": 0.9300031459331513, ""uniformity"": -0.3379763916134834, ""effective_rank"": 3.14134961605072, ""weight_entropy_ratio"": 0.9389592995049888}}",-0.012340708449482918,0.9300031459331513,1.6340292119979858,-0.012340708449482918,-0.07900854431651533,0.9656695530102255,"[0.3806693028006703, 0.8659707880020142]",COMPLETE
1,0.9985805397033691,2026-07-29 16:55:37.325649,2026-07-29 17:30:08.349152,0 days 00:34:31.023503,2.665440364437338,2.9247746304049858,2.2701814444901136,2.002787529358022,0.5514612357395061,0.10439511711064378,1.5008177518844605,1.5181144113540652,"{""Prosody"": {""alignment"": 0.9988161957263947, ""uniformity"": -0.004706387354526669, ""effective_rank"": 1.5009065318107604, ""weight_entropy_ratio"": 0.9978334552583762}, ""Vocal_Tract"": {""alignment"": 0.998805820941925, ""uniformity"": -0.004750062660314143, ""effective_rank"": 1.5008177518844605, ""weight_entropy_ratio"": 0.9920853639084564}, ""Timbre"": {""alignment"": 0.9982895815372467, ""uniformity"": -0.0071175154764205216, ""effective_rank"": 1.5383848428726197, ""weight_entropy_ratio"": 0.9988333927320473}, ""Voice_Quality"": {""alignment"": 0.9987477457523346, ""uniformity"": -0.005082834106869996, ""effective_rank"": 1.5082076120376586, ""weight_entropy_ratio"": 0.8076640026220447}, ""Scene"": {""alignment"": 0.9982433545589448, ""uniformity"": -0.0073531676968559626, ""effective_rank"": 1.5422553181648255, ""weight_entropy_ratio"": 0.998745269921807}}",-0.004706387354526669,0.9982433545589448,1.5008177518844605,-0.004706387354526669,-0.00580199345899746,0.9590322968885464,"[0.3928824845235795, 0.9991822481155395]",COMPLETE
2,0.9572655384540557,2026-07-29 17:30:13.128962,2026-07-29 18:04:52.421472,0 days 00:34:39.292510,1.0308477766956905,1.8118910790805947,0.9585112746335845,0.9545624180177515,1.2606056073988443,0.42962590913617715,2.436366891860962,2.838736358165741,"{""Prosody"": {""alignment"": 0.9697335743904114, ""uniformity"": -0.13420277696102859, ""effective_rank"": 2.5617347073554995, ""weight_entropy_ratio"": 0.9551170900163455}, ""Vocal_Tract"": {""alignment"": 0.9748024833202362, ""uniformity"": -0.09702972240746022, ""effective_rank"": 2.436366891860962, ""weight_entropy_ratio"": 0.9350771057706271}, ""Timbre"": {""alignment"": 0.9095186245441437, ""uniformity"": -0.35781451970338823, ""effective_rank"": 3.704168930053711, ""weight_entropy_ratio"": 0.9720798908239}, ""Voice_Quality"": {""alignment"": 0.9737354469299316, ""uniformity"": -0.09791503436863422, ""effective_rank"": 2.5311681509017943, ""weight_entropy_ratio"": 0.9468717169059705}, ""Scene"": {""alignment"": 0.958537563085556, ""uniformity"": -0.1619876828789711, ""effective_rank"": 2.960243110656738, ""weight_entropy_ratio"": 0.9926849392268278}}",-0.09702972240746022,0.9095186245441437,2.436366891860962,-0.09702972240746022,-0.16978994726389648,0.960366148548734,"[0.2380123171210289, 0.063633108139038]",COMPLETE
3,0.9583021211624145,2026-07-29 18:04:57.543004,2026-07-29 18:39:39.512330,0 days 00:34:41.969326,1.2280728504951048,1.4159046082342293,0.8487346516301046,2.0296322368059485,1.2303616213380453,0.2614169078296886,2.224226002693176,2.981981714248657,"{""Prosody"": {""alignment"": 0.9593074643611907, ""uniformity"": -0.19372576862573623, ""effective_rank"": 2.6545531868934633, ""weight_entropy_ratio"": 0.972239803892921}, ""Vocal_Tract"": {""alignment"": 0.9852103567123414, ""uniformity"": -0.057507029920816424, ""effective_rank"": 2.224226002693176, ""weight_entropy_ratio"": 0.9928331026645442}, ""Timbre"": {""alignment"": 0.9210749077796936, ""uniformity"": -0.35811259746551516, ""effective_rank"": 4.157760224342346, ""weight_entropy_ratio"": 0.9572372879095572}, ""Voice_Quality"": {""alignment"": 0.9854146647453308, ""uniformity"": -0.057121987752616406, ""effective_rank"": 2.2376066565513613, ""weight_entropy_ratio"": 0.9453424084199284}, ""Scene"": {""alignment"": 0.9405032122135162, ""uniformity"": -0.2527741503715515, ""effective_rank"": 3.6357625007629393, ""weight_entropy_ratio"": 0.9833876950192147}}",-0.057121987752616406,0.9210749077796936,2.224226002693176,-0.057121987752616406,-0.18384830682724712,0.9702080595812332,"[0.2428780122473836, 0.27577399730682384]",COMPLETE
4,0.9677592780590056,2026-07-29 18:39:44.378279,2026-07-29 19:14:10.952316,0 days 00:34:26.574037,2.462939903482534,0.6161260317999944,1.785586096034029,0.9991844553958993,1.9810364221551062,0.2715493933711551,2.2823366689682008,2.7896987972259524,"{""Prosody"": {""alignment"": 0.9915480422973633, ""uniformity"": -0.033388209454715254, ""effective_rank"": 2.2823366689682008, ""weight_entropy_ratio"": 0.9971902535785359}, ""Vocal_Tract"": {""alignment"": 0.9914305853843689, ""uniformity"": -0.0343781753629446, ""effective_rank"": 2.2909452152252197, ""weight_entropy_ratio"": 0.9444929292967782}, ""Timbre"": {""alignment"": 0.989552229642868, ""uniformity"": -0.04348544735461474, ""effective_rank"": 2.3703824996948244, ""weight_entropy_ratio"": 0.9969497665122562}, ""Voice_Quality"": {""alignment"": 0.9913485360145569, ""uniformity"": -0.03389865048229694, ""effective_rank"": 2.2877731370925902, ""weight_entropy_ratio"": 0.9840315757354418}, ""Scene"": {""alignment"": 0.8749169969558716, ""uniformity"": -0.684878061413765, ""effective_rank"": 4.717056465148926, ""weight_entropy_ratio"": 0.8508639430512683}}",-0.033388209454715254,0.8749169969558716,2.2823366689682008,-0.033388209454715254,-0.16600570881366727,0.9547056936348559,"[0.3565145526453853, 0.21766333103179925]",COMPLETE
5,0.9710153667926789,2026-07-29 19:14:15.647518,2026-07-29 19:48:47.269397,0 days 00:34:31.621879,0.9263103092182288,2.5209933702911527,2.8722138431333333,0.6626289824631988,2.9140800826863984,0.3351688377986041,2.191041121482849,2.5019690132141115,"{""Prosody"": {""alignment"": 0.9174125361442566, ""uniformity"": -0.4012753111124039, ""effective_rank"": 3.2467833614349364, ""weight_entropy_ratio"": 0.9375313343223595}, ""Vocal_Tract"": {""alignment"": 0.9690798687934875, ""uniformity"": -0.11636754006147385, ""effective_rank"": 2.5563556814193724, ""weight_entropy_ratio"": 0.869065192287798}, ""Timbre"": {""alignment"": 0.9892458558082581, ""uniformity"": -0.04240553177893162, ""effective_rank"": 2.264670009613037, ""weight_entropy_ratio"": 0.999511540616701}, ""Voice_Quality"": {""alignment"": 0.9905641388893127, ""uniformity"": -0.03659885739907622, ""effective_rank"": 2.191041121482849, ""weight_entropy_ratio"": 0.9956001759395384}, ""Scene"": {""alignment"": 0.9887744343280792, ""uniformity"": -0.04567274007946253, ""effective_rank"": 2.2509948921203615, ""weight_entropy_ratio"": 0.9976717755438412}}",-0.03659885739907622,0.9174125361442566,2.191041121482849,-0.03659885739907622,-0.12846399608626963,0.9598760037420476,"[0.3575944682210684, 0.3089588785171511]",COMPLETE
6,0.9916805691719057,2026-07-29 19:48:52.300774,2026-07-29 20:23:10.385905,0 days 00:34:18.085131,0.7441802850159597,1.7379422752781755,1.6003812343490034,2.210582566280392,0.8050955871119471,0.20793778305281568,1.8272651791572572,2.2335131273269657,"{""Prosody"": {""alignment"": 0.9979142904281616, ""uniformity"": -0.008554970370605588, ""effective_rank"": 1.8390455532073975, ""weight_entropy_ratio"": 0.9024200592164158}, ""Vocal_Tract"": {""alignment"": 0.9979667282104492, ""uniformity"": -0.008122129142284393, ""effective_rank"": 1.8272651791572572, ""weight_entropy_ratio"": 0.9950231308182893}, ""Timbre"": {""alignment"": 0.9862505292892456, ""uniformity"": -0.05674351990222931, ""effective_rank"": 2.694431252479553, ""weight_entropy_ratio"": 0.9958150667867744}, ""Voice_Quality"": {""alignment"": 0.9977204227447509, ""uniformity"": -0.00911151284351945, ""effective_rank"": 1.8475527024269105, ""weight_entropy_ratio"": 0.8838562528876777}, ""Scene"": {""alignment"": 0.9785508751869202, ""uniformity"": -0.09125378236174583, ""effective_rank"": 2.9592709493637086, ""weight_entropy_ratio"": 0.9918705973594062}}",-0.008122129142284393,0.9785508751869202,1.8272651791572572,-0.008122129142284393,-0.03475718292407692,0.9537970214137127,"[0.3432564800977707, 0.6727348208427428]",COMPLETE
7,0.9976946518421174,2026-07-29 20:23:14.657180,2026-07-29 20:57:43.584320,0 days 00:34:28.927140,2.7733010051969553,1.800170052944527,2.156305710884955,1.1469499540000423,1.2792776902235274,0.09444317886839172,1.519510998725891,1.5979565296173097,"{""Prosody"": {""alignment"": 0.9992955982685089, ""uniformity"": -0.002822155782487243, ""effective_rank"": 1.5202887487411498, ""weight_entropy_ratio"": 0.9983110871508232}, ""Vocal_Tract"": {""alignment"": 0.9993272387981414, ""uniformity"": -0.0027039036201313136, ""effective_rank"": 1.519510998725891, ""weight_entropy_ratio"": 0.962413561567495}, ""Timbre"": {""alignment"": 0.9974305999279022, ""uniformity"": -0.010714593692682683, ""effective_rank"": 1.629478120803833, ""weight_entropy_ratio"": 0.9986486971367373}, ""Voice_Quality"": {""alignment"": 0.9989429783821105, ""uniformity"": -0.0043414952582679685, ""effective_rank"": 1.548762984275818, ""weight_entropy_ratio"": 0.9508393092486628}, ""Scene"": {""alignment"": 0.9934768438339233, ""uniformity"": -0.029165912587195635, ""effective_rank"": 1.771741795539856, ""weight_entropy_ratio"": 0.9929729450292529}}",-0.0027039036201313136,0.9934768438339233,1.519510998725891,-0.0027039036201313136,-0.009949612188152969,0.9806371200265943,"[0.38928540630731734, 0.980489001274109]",COMPLETE
8,0.9955267052650452,2026-07-29 20:57:49.698782,2026-07-29 21:28:06.714607,0 days 00:30:17.015825,0.9621361388138177,2.737068376069122,2.4378320584027864,2.9239615694113965,2.848747353910473,0.30961831732417744,1.7834600758552552,1.963238669872284,"{""Prosody"": {""alignment"": 0.9981536960601807, ""uniformity"": -0.007494666008278727, ""effective_rank"": 1.8196566772460938, ""weight_entropy_ratio"": 0.9449972922046709}, ""Vocal_Tract"": {""alignment"": 0.9984363150596619, ""uniformity"": -0.006235061511397362, ""effective_rank"": 1.7834600758552552, ""weight_entropy_ratio"": 0.9976641150926739}, ""Timbre"": {""alignment"": 0.9925887894630432, ""uniformity"": -0.029441140852868558, ""effective_rank"": 2.1412368535995485, ""weight_entropy_ratio"": 0.9991500561718013}, ""Voice_Quality"": {""alignment"": 0.9983026349544525, ""uniformity"": -0.0068124056048691276, ""effective_rank"": 1.8012242126464844, ""weight_entropy_ratio"": 0.9953934381325769}, ""Scene"": {""alignment"": 0.9901520907878876, ""uniformity"": -0.039706293158233166, ""effective_rank"": 2.2706155300140383, ""weight_entropy_ratio"": 0.9983555859014125}}",-0.006235061511397362,0.9901520907878876,1.7834600758552552,-0.006235061511397362,-0.017937913427129387,0.9871120975006271,"[0.3705588591471315, 0.7165399241447448]",COMPLETE
9,0.9694191641807557,2026-07-29 21:28:10.273845,2026-07-29 22:02:30.017896,0 days 00:34:19.744051,2.804685587557792,1.313325826908161,0.989957156047863,0.7212312551297988,0.6130682222763452,0.33111799110065576,1.7394423508644103,2.5679253125190735,"{""Prosody"": {""alignment"": 0.9978485381603241, ""uniformity"": -0.008580813519656658, ""effective_rank"": 1.7394423508644103, ""weight_entropy_ratio"": 0.9982817297607438}, ""Vocal_Tract"": {""alignment"": 0.9976831984519958, ""uniformity"": -0.009144357787445188, ""effective_rank"": 1.7532534217834472, ""weight_entropy_ratio"": 0.8866352725994378}, ""Timbre"": {""alignment"": 0.929321209192276, ""uniformity"": -0.29599855303764344, ""effective_rank"": 3.84138662815094, ""weight_entropy_ratio"": 0.9750769847975488}, ""Voice_Quality"": {""alignment"": 0.9977435374259949, ""uniformity"": -0.008932825643569231, ""effective_rank"": 1.7518396282196045, ""weight_entropy_ratio"": 0.8222411425910849}, ""Scene"": {""alignment"": 0.9244993376731873, ""uniformity"": -0.30854615539312363, ""effective_rank"": 3.753704533576965, ""weight_entropy_ratio"": 0.9790646639572812}}",-0.008580813519656658,0.9244993376731873,1.7394423508644103,-0.008580813519656658,-0.12624054107628763,0.9322599587412194,"[0.3414191864803433, 0.7605576491355897]",COMPLETE
